external_id,glob_id,decision,note
GLOB_GAVOC_01070,GLOB2_1715,match,
GLOB_GAVOC_01075,GLOB_693,child,
GLOB_GAVOC_01075,GLOB_552,reject,
GLOB_GAVOC_01078,GLOB_876_HUM_1,match,
GLOB_GAVOC_01078,GLOB_876,reject,
GLOB_GAVOC_01078,GLOB_876_HUM_2,reject,
GLOB_GAVOC_01095,GLOB_593,child,
GLOB_GAVOC_01096,GLOB_254,reject,
GLOB_GAVOC_01120,GLOB_545,reject,
GLOB_GAVOC_01126,GLOB2_907,match,
GLOB_GAVOC_01143,GLOB_502,match,
GLOB_GAVOC_01147,GLOB_18,match,
GLOB_GAVOC_01148,GLOB_165,match,
GLOB_GAVOC_01149,GLOB2_907,match,
GLOB_GAVOC_01152,GLOB_19,match,
GLOB_GAVOC_01160,GLOB2_E_34,match,
GLOB_GAVOC_01177,GLOB_RT_200,match,
GLOB_GAVOC_01185,GLOB_RT_34,match,
GLOB_GAVOC_01192,GLOB_479,match,
GLOB_GAVOC_01192,GLOB_839,reject,
GLOB_GAVOC_01197,GLOB_21,reject,
GLOB_GAVOC_01197,GLOB_707,reject,
GLOB_GAVOC_01201,GLOB_707,reject,
GLOB_GAVOC_01202,GLOB_707,reject,
GLOB_GAVOC_01207,GLOB2_1429,child,
GLOB_GAVOC_01208,GLOB_640,reject,
GLOB_GAVOC_01273,GLOB_RT_166,match,
GLOB_GAVOC_01274,GLOB2_1901,reject,
GLOB_GAVOC_01298,GLOB2_914,reject,
GLOB_GAVOC_01298,GLOB2_E_240,reject,
GLOB_GAVOC_01298,GLOB2_1577,match,
GLOB_GAVOC_01300,GLOB_483,match,
GLOB_GAVOC_01314,GLOB_RT_149,match,
GLOB_GAVOC_01316,GLOB_707,reject,
GLOB_GAVOC_01316,GLOB_21,reject,
GLOB_GAVOC_01332,GLOB_707,child,
GLOB_GAVOC_01338,GLOB_480,match,
GLOB_GAVOC_01351,GLOB_522,match,
GLOB_GAVOC_01354,GLOB2_1901,match,
GLOB_GAVOC_01355,GLOB2_1901,match,
GLOB_GAVOC_01370,GLOB2_E_36,match,
GLOB_GAVOC_01378,GLOB2_1159,match,
GLOB_GAVOC_01383,GLOB2_998,match,
GLOB_GAVOC_01388,GLOB2_998,match,
GLOB_GAVOC_01406,GLOB_477,match,
GLOB_GAVOC_01439,GLOB_306,match,
GLOB_GAVOC_01446,GLOB_RT_261,match,
GLOB_GAVOC_01447,GLOB_545,child,
GLOB_GAVOC_01466,GLOB2_950,match,
GLOB_GAVOC_01467,GLOB2_950,reject,
GLOB_GAVOC_01480,GLOB_284,match,
GLOB_GAVOC_01493,GLOB_PY_21,match,
GLOB_GAVOC_01506,GLOB_313,match,
GLOB_GAVOC_01510,GLOB_321,match,
GLOB_GAVOC_01512,GLOB_672,match,
GLOB_GAVOC_01522,GLOB2_914,match,
GLOB_GAVOC_01522,GLOB2_E_240,reject,
GLOB_GAVOC_01523,GLOB2_E_239,match,check labels
GLOB_GAVOC_01523,GLOB2_E_240,reject,
GLOB_GAVOC_01523,GLOB2_914,reject,
GLOB_GAVOC_01530,GLOB2_914,child,
GLOB_GAVOC_01563,GLOB_BN_148,match,
GLOB_GAVOC_01567,GLOB_RT_36,match,
GLOB_GAVOC_01569,GLOB_RT_36,match,
GLOB_GAVOC_01577,GLOB_RT_127,match,
GLOB_GAVOC_01583,GLOB_RT_158,match,
GLOB_GAVOC_01605,GLOB_464,reject,
GLOB_GAVOC_01616,GLOB2_1067,reject,
GLOB_GAVOC_01616,GLOB2_1219,reject,
GLOB_GAVOC_01616,GLOB_E_242,match,
GLOB_GAVOC_01620,GLOB2_907,match,
GLOB_GAVOC_01636,GLOB2_1826,match,
GLOB_GAVOC_01639,GLOB_RT_111,match,
GLOB_GAVOC_01639,GLOB_RT_35,reject,
GLOB_GAVOC_01639,GLOB_RT_115,reject,
GLOB_GAVOC_01641,GLOB_603,reject,
GLOB_GAVOC_01650,GLOB_RT_86,match,
GLOB_GAVOC_01651,NR_69,match,
GLOB_GAVOC_01667,GLOB_314,reject,
GLOB_GAVOC_01668,GLOB_281,match,
GLOB_GAVOC_01675,GLOB_RT_89,match,
GLOB_GAVOC_01676,GLOB2_1213,match,
GLOB_GAVOC_01678,GLOB_24,match,
GLOB_GAVOC_01691,GLOB_RT_213,match,
GLOB_GAVOC_01696,GLOB_61,reject,
GLOB_GAVOC_01700,GLOB_495,match,
GLOB_GAVOC_01702,GLOB_RT_253,match,
GLOB_GAVOC_01704,GLOB_RT_145,match,
GLOB_GAVOC_01708,GLOB_RT_33,match,
GLOB_GAVOC_01710,GLOB_26,child,
GLOB_GAVOC_01716,GLOB2_1010,match,
GLOB_GAVOC_01720,GLOB_478,match,
GLOB_GAVOC_01723,GLOB2_1867,child,ignore river
GLOB_GAVOC_01726,GLOB_63,match,
GLOB_GAVOC_01734,GLOB_369,reject,
GLOB_GAVOC_01741,GLOB_799,child,
GLOB_GAVOC_01745,GLOB_718,match,
GLOB_GAVOC_01747,GLOB_RT_206,match,
GLOB_GAVOC_01756,GLOB_NB_106,reject,
GLOB_GAVOC_01773,GLOB_263,child,
GLOB_GAVOC_01775,GLOB_27_HUM_2,match,
GLOB_GAVOC_01775,GLOB_27_HUM_1,reject,
GLOB_GAVOC_01775,GLOB_27_HUM_3,reject,
GLOB_GAVOC_01775,GLOB_27,reject,
GLOB_GAVOC_01776,GLOB_27_HUM_3,reject,
GLOB_GAVOC_01776,GLOB_27_HUM_2,reject,
GLOB_GAVOC_01776,GLOB_27_HUM_1,reject,
GLOB_GAVOC_01776,GLOB_27,child,
GLOB_GAVOC_01784,GLOB_27,reject,
GLOB_GAVOC_01784,GLOB_27_HUM_1,reject,
GLOB_GAVOC_01784,GLOB_27_HUM_2,reject,
GLOB_GAVOC_01784,GLOB_27_HUM_3,match,
GLOB_GAVOC_01788,NR_244,match,
GLOB_GAVOC_01790,GLOB_RT_6,reject,
GLOB_GAVOC_01790,GLOB_RT_17,match,
GLOB_GAVOC_01792,GLOB_RT_130,match,
GLOB_GAVOC_01795,GLOB_RT_136,match,
GLOB_GAVOC_01799,GLOB2_1527,match,
GLOB_GAVOC_01801,GLOB_493_HUM_1,match,
GLOB_GAVOC_01801,GLOB_493,reject,
GLOB_GAVOC_01804,GLOB_28,match,
GLOB_GAVOC_01804,GLOB_235,reject,
