glob_id,external_id,similarity_score,method,overlap
GLOB2_1206,GLOB_GAVOC_00845,100.0,1,False
GLOB2_1206_GEO_1,GLOB_GAVOC_00845,100.0,1,False
GLOB_586,GLOB_GAVOC_00858,100.0,1,False
GLOB_343,GLOB_GAVOC_00866,100.0,1,False
GLOB2_1797,GLOB_GAVOC_00867,86.66666666666667,1,False
GLOB2_923,GLOB_GAVOC_00870,100.0,1,False
GLOB2_923,GLOB_GAVOC_00873,100.0,1,False
GLOB2_1206_GEO_1,GLOB_GAVOC_00875,83.33333333333334,1,False
NR_218,GLOB_GAVOC_00875,100.0,1,False
NR_218_HUM_1,GLOB_GAVOC_00875,84.21052631578947,1,False
GLOB_724,GLOB_GAVOC_00893,100.0,1,False
GLOB_12,GLOB_GAVOC_00899,100.0,1,False
GLOB_729,GLOB_GAVOC_00905,100.0,1,False
GLOB_NB_182,GLOB_GAVOC_00906,100.0,1,False
NR_251,GLOB_GAVOC_00906,100.0,1,False
NR_251_HUM_1,GLOB_GAVOC_00906,100.0,1,False
GLOB_793,GLOB_GAVOC_00907,100.0,1,False
GLOB_793_HUM_1,GLOB_GAVOC_00907,100.0,1,False
GLOB_793_HUM_2,GLOB_GAVOC_00907,100.0,1,False
GLOB_793_HUM_3,GLOB_GAVOC_00907,100.0,1,False
GLOB_793,GLOB_GAVOC_00908,100.0,1,False
GLOB_793_HUM_1,GLOB_GAVOC_00908,100.0,1,False
GLOB_793_HUM_2,GLOB_GAVOC_00908,100.0,1,False
GLOB_793_HUM_3,GLOB_GAVOC_00908,100.0,1,False
GLOB_793,GLOB_GAVOC_00914,100.0,1,False
GLOB_793_HUM_1,GLOB_GAVOC_00914,100.0,1,False
GLOB_793_HUM_2,GLOB_GAVOC_00914,100.0,1,False
GLOB_793_HUM_3,GLOB_GAVOC_00914,100.0,1,False
GLOB_793,GLOB_GAVOC_00916,94.11764705882352,1,False
GLOB_793_HUM_1,GLOB_GAVOC_00916,94.11764705882352,1,False
