external_id,pref_label,label,longitude,latitude,point_coord,coord_source,coord_source_page,coord_remarks,place_type,pp_uri,pp_type_label,attestation_id
GLOB_GAVOC_84107,Ironkeke,Ironkeke,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,settlement,https://digitaalerfgoed.poolparty.biz/globalise/79dd26ba-f8df-4c5e-8783-27417a48fa99,settlements,4107
GLOB_GAVOC_84109,Iruwale,Iruwale,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,settlement,https://digitaalerfgoed.poolparty.biz/globalise/79dd26ba-f8df-4c5e-8783-27417a48fa99,settlements,4109
GLOB_GAVOC_84110,Irvene,Irvene,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,-,-,-,4110
GLOB_GAVOC_84112,Isanku,Isanku,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,settlement,https://digitaalerfgoed.poolparty.biz/globalise/79dd26ba-f8df-4c5e-8783-27417a48fa99,settlements,4112
GLOB_GAVOC_84115,Isicoa,Isicoa,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,settlement,https://digitaalerfgoed.poolparty.biz/globalise/79dd26ba-f8df-4c5e-8783-27417a48fa99,settlements,4115
GLOB_GAVOC_84117,Isourana,Isourana,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,settlement,https://digitaalerfgoed.poolparty.biz/globalise/79dd26ba-f8df-4c5e-8783-27417a48fa99,settlements,4117
GLOB_GAVOC_84122,Itapoulzarise Riv.,Itapoulzarise Riv.,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,river,https://digitaalerfgoed.poolparty.biz/globalise/cf7cc49f-738b-48b0-80a7-476244ba4919,rivers,4122
GLOB_GAVOC_84123,Itapoutmanithi Riv.,Itapoutmanithi Riv.,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,river,https://digitaalerfgoed.poolparty.biz/globalise/cf7cc49f-738b-48b0-80a7-476244ba4919,rivers,4123
GLOB_GAVOC_84127,Ittene,Ittene,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,settlement,https://digitaalerfgoed.poolparty.biz/globalise/79dd26ba-f8df-4c5e-8783-27417a48fa99,settlements,4127
GLOB_GAVOC_84128,Iuadalemaitou,Iuadalemaitou,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,settlement,https://digitaalerfgoed.poolparty.biz/globalise/79dd26ba-f8df-4c5e-8783-27417a48fa99,settlements,4128
