glob_id,label,pref_label,latitude,longitude,wkt,place_type_uri,place_type
-,Lama|T Eijlant kelang|Vavorlang|Aimoi|Packan|Lamai|Mattysen Eijlant|Tanswei|Tanekoja|Piscadores|de stadt Proventie|Kelangh|Tamsui|Lamo|Kavalang|Quemoi|Loukion|Tankoij|stadt proventie|het vlekje Provintie|Barnagore|Nankin|Rivier van Fabolangh|tansue|Tanswij|Cinchieu|t eijlandt quelangh|Pehouw|Eijmoij|St. Matheus Eijlant|Tanky|Cinchieuw,-,-,-,POINT EMPTY,-,-
GLOB2_1066,Londen|London,London,51.51051,-0.0912,POINT (-0.0912 51.51051),https://digitaalerfgoed.poolparty.biz/globalise/20d7cfe7-b3b1-4223-b2b4-d9f6ddb2e683,city
GLOB2_1067,Endeh|Flores|Ende|Pulau Flores,Flores,-8.69329,121.2471,POINT (121.2471 -8.69329),https://digitaalerfgoed.poolparty.biz/globalise/d8b4d9c6-11b3-430a-ba08-48eb1f3a8f56,island
GLOB2_1070,Afrique|Africa|Afrika,Africa,7.1881,21.09375,POINT (21.09375 7.1881),https://digitaalerfgoed.poolparty.biz/globalise/7006b73c-c2eb-4873-8393-5af701fae308,continent
GLOB2_1071,Gingier|Sinsier|Gingee|Gingie|Tsinsij|Gingi,Gingee,12.25282,79.41727,POINT (79.41727 12.25282),https://digitaalerfgoed.poolparty.biz/globalise/84767cdb-cabe-4384-9e51-faca2ae3b864,fort
GLOB2_1071_HUM_1,Gingee|Gingier|Gingie|Gingi,Gingee,12.25282,79.41727,POINT (79.41727 12.25282),https://digitaalerfgoed.poolparty.biz/globalise/6f1f178a-fa6f-4553-a723-99f9d909a771,kingdom
GLOB2_1071_HUM_2,Sinsier|Gingee Fort|Gingie|Gingi,Gingee Fort,12.250833,79.395833,POINT (79.395833 12.250833),https://digitaalerfgoed.poolparty.biz/globalise/84767cdb-cabe-4384-9e51-faca2ae3b864,fortification
GLOB2_1078,Menjuto|Lamanjuta|Mandjuta|Lamajuta|Manjutte|Majutte|Lammajuta|Manjuta,Menjuto,-2.5344,101.0755,POINT (101.0755 -2.5344),https://digitaalerfgoed.poolparty.biz/globalise/7c1af419-926c-47c9-9450-05dc5849c05c,negorij [PROBLEMATIC TERM]
GLOB2_1080,Passarouang|Passourawang|Passourowang|Passourouangh|Passourouan|Pasuruan|Passouroang|Passoeroeang|Passourouang|Pasuruhan,Pasuruan,-7.64384,112.9041,POINT (112.9041 -7.64384),https://digitaalerfgoed.poolparty.biz/globalise/8e41887e-0111-4667-b209-9d0da933b7d8,town
GLOB2_1081,Waijer|Waaijer|Wajer|Wayer|Waer,Wayer,-4.55085,129.9479,POINT (129.9479 -4.55085),-,-
GLOB2_1081_HUM_1,Waijer|Waaijer|Wajer|Wayer (settlement)|Waer,Wayer (settlement),-4.55085,129.9479,POINT (129.9479 -4.55085),https://digitaalerfgoed.poolparty.biz/globalise/46724d25-aa94-4848-a8ca-17fe02b0db2b,settlement
GLOB2_1081_HUM_2,Wayer (perk)|Waijer|Waaijer|Wajer|Waer,Wayer (perk),-4.55085,129.9479,POINT (129.9479 -4.55085),https://digitaalerfgoed.poolparty.biz/globalise/ff08099f-3b85-48c8-ab5e-e2c50895565b,perk
GLOB2_1081_HUM_3,fort Oerangie|fort Wayer|fort Concordia|Fort Concordia (Banda Lonthor)|fort Wajer|fort Orangie,Fort Concordia (Banda Lonthor),-4.551057,129.949438,POINT (129.949438 -4.551057),https://digitaalerfgoed.poolparty.biz/globalise/84767cdb-cabe-4384-9e51-faca2ae3b864,fort
GLOB2_1082,Lisboa|Lissabon|Lisbon,Lisbon,38.70872,-9.1352,POINT (-9.1352 38.70872),https://digitaalerfgoed.poolparty.biz/globalise/20d7cfe7-b3b1-4223-b2b4-d9f6ddb2e683|https://digitaalerfgoed.poolparty.biz/globalise/2b007e6a-a299-413b-bc7f-51e69a9e1fab,city|capital
GLOB2_1085,Rotterdam,Rotterdam,51.91667,4.483333,POINT (4.483333 51.91667),https://digitaalerfgoed.poolparty.biz/globalise/20d7cfe7-b3b1-4223-b2b4-d9f6ddb2e683,city
GLOB2_1088,Allenberwe|Allemperwe|Allamparwa,Allamparwa,12.2659,80.0101,POINT (80.0101 12.2659),https://digitaalerfgoed.poolparty.biz/globalise/d4dafba3-2344-4f5a-a94d-ed988069d0e5,village
GLOB2_1090,Malayo|Maleijo|Maliaro|Malayu|Maleyo|Malaija,Malayu,0.792885,127.386719,POINT (127.386719 0.792885),https://digitaalerfgoed.poolparty.biz/globalise/8e41887e-0111-4667-b209-9d0da933b7d8,town
GLOB2_1098,"Straet Banca|Selat Bangka|Bangka, Straat",Selat Bangka,-2.49736,105.76817,POINT (105.76817 -2.49736),https://digitaalerfgoed.poolparty.biz/globalise/b2cd216c-9533-449a-849d-1cbd3840a3d2,strait
GLOB2_1099,Oostende|Ostend,Ostend,51.21551,2.927,POINT (2.927 51.21551),https://digitaalerfgoed.poolparty.biz/globalise/8e41887e-0111-4667-b209-9d0da933b7d8|https://digitaalerfgoed.poolparty.biz/globalise/93a0b2c9-ad9a-4bab-8620-11b5c1e01f37,port|town
GLOB2_1105,Diu|Dieuw,Diu,20.71538,70.98832,POINT (70.98832 20.71538),https://digitaalerfgoed.poolparty.biz/globalise/20d7cfe7-b3b1-4223-b2b4-d9f6ddb2e683,city
GLOB2_1107,Delft,Delft,52.00667,4.35556,POINT (4.35556 52.00667),https://digitaalerfgoed.poolparty.biz/globalise/8e41887e-0111-4667-b209-9d0da933b7d8,town
GLOB2_1110,"Fort Victoria (Ambon)|Victoria, fort|fort Nieuw Victoria|Fort of Our Lady of the Annunciation|fort Victoria|Victoria, Kasteel|Kota Laha|Forte de Nossa Senhora da Anunciada",Fort Victoria (Ambon),-3.69155,128.182342,POINT (128.182342 -3.69155),https://digitaalerfgoed.poolparty.biz/globalise/84767cdb-cabe-4384-9e51-faca2ae3b864,fort
GLOB2_1112,Aleppo,Aleppo,36.20124,37.16117,POINT (37.16117 36.20124),https://digitaalerfgoed.poolparty.biz/globalise/20d7cfe7-b3b1-4223-b2b4-d9f6ddb2e683,city
GLOB2_1114,Kolattiri|Kolathunadu|Colatrie|Colastrij,Kolathunadu,12.16667,75.33333,POINT (75.33333 12.16667),https://digitaalerfgoed.poolparty.biz/globalise/6f1f178a-fa6f-4553-a723-99f9d909a771,kingdom
GLOB2_1117,淡水|Tampsuy|Tamsuij|Tanshui|Tangswij|Tan-shui|Tamsuy|Tan-Sui,Tan-shui,25.169912,121.440282,POINT (121.440282 25.169912),https://digitaalerfgoed.poolparty.biz/globalise/06278cc4-0ec4-4376-b869-8c21bf507894|https://digitaalerfgoed.poolparty.biz/globalise/93a0b2c9-ad9a-4bab-8620-11b5c1e01f37,region|port
GLOB2_1118,Dodinga|Dodingo,Dodinga,0.856644,127.6439,POINT (127.6439 0.856644),https://digitaalerfgoed.poolparty.biz/globalise/4b274bf6-aa23-44f3-8d90-809c6617916f,comptoir
GLOB2_1119,Damaon|Dammangh|Daman|Deman|Dammang,Daman,20.41503,72.83239,POINT (72.83239 20.41503),https://digitaalerfgoed.poolparty.biz/globalise/20d7cfe7-b3b1-4223-b2b4-d9f6ddb2e683,city
GLOB2_1121,Coedoes|Kudus|Koedoes,Kudus,-6.8048,110.8405,POINT (110.8405 -6.8048),https://digitaalerfgoed.poolparty.biz/globalise/40217104-de46-42ed-80c8-480fac1f8706|https://digitaalerfgoed.poolparty.biz/globalise/55f41aea-cc65-4cfb-88c4-766a2841452a,regency|district
GLOB2_1122,Soualij Strant|Soualy|Sualy|Suvali|Suhalij,Suvali,21.162,72.63405,POINT (72.63405 21.162),https://digitaalerfgoed.poolparty.biz/globalise/7f946cd2-9901-408a-ac12-355466c473c2,residentie
GLOB2_1126,Tigabelas Kota|Tiga Belas Kota|Tigablas Cottas|Tigaballa Cotta,Tiga Belas Kota,-0.8006,100.6571,POINT (100.6571 -0.8006),https://digitaalerfgoed.poolparty.biz/globalise/d1f592cd-dec1-4f42-bb73-930ce816dfaf,landschap
GLOB2_1127,Pulau Babar|Babber|Babar,Pulau Babar,-7.89733,129.6949,POINT (129.6949 -7.89733),https://digitaalerfgoed.poolparty.biz/globalise/d8b4d9c6-11b3-430a-ba08-48eb1f3a8f56,island
GLOB2_1128,Singora|Sangora|Songkhla,Songkhla,7.2,100.5833,POINT (100.5833 7.2),https://digitaalerfgoed.poolparty.biz/globalise/20d7cfe7-b3b1-4223-b2b4-d9f6ddb2e683,city
GLOB2_1131,Bengkalis|Pulau Bengkalis,Pulau Bengkalis,1.5,102.25,POINT (102.25 1.5),https://digitaalerfgoed.poolparty.biz/globalise/d8b4d9c6-11b3-430a-ba08-48eb1f3a8f56,island
GLOB2_1132,Kambello|Serikambela|Serikkembelo|Cambelle|Cambello,Serikambela,-3.360917,127.943587,POINT (127.943587 -3.360917),https://digitaalerfgoed.poolparty.biz/globalise/d4dafba3-2344-4f5a-a94d-ed988069d0e5,village
GLOB2_1134,Makkah|Mekka|Mecca,Makkah,21.42664,39.82563,POINT (39.82563 21.42664),https://digitaalerfgoed.poolparty.biz/globalise/20d7cfe7-b3b1-4223-b2b4-d9f6ddb2e683,city
GLOB2_1135,Covelon|Covelong|Covelang,Covelong,12.787205,80.250093,POINT (80.250093 12.787205),https://digitaalerfgoed.poolparty.biz/globalise/93a0b2c9-ad9a-4bab-8620-11b5c1e01f37,port
GLOB2_1137,Ning-po|寧波|Limpho|Ningbo|Nimpho|Limpo|Nunbpoe|Nimpo,Ningbo,29.87819,121.54945,POINT (121.54945 29.87819),https://digitaalerfgoed.poolparty.biz/globalise/20d7cfe7-b3b1-4223-b2b4-d9f6ddb2e683,city
GLOB2_1138,Glisson|Galesong,Galesong,-5.3166,119.3661,POINT (119.3661 -5.3166),https://digitaalerfgoed.poolparty.biz/globalise/40217104-de46-42ed-80c8-480fac1f8706,district
GLOB2_1139,Pulau Moa|Moa Island|Moa,Moa Island,-8.18333,127.9,POINT (127.9 -8.18333),https://digitaalerfgoed.poolparty.biz/globalise/d8b4d9c6-11b3-430a-ba08-48eb1f3a8f56,island
GLOB2_1143,Toradja|Toraja lands|Toraja,Toraja lands,-3.05671,119.7617,POINT (119.7617 -3.05671),https://digitaalerfgoed.poolparty.biz/globalise/06278cc4-0ec4-4376-b869-8c21bf507894,region
GLOB2_1149,Utrecht,Utrecht,52.09083,5.12222,POINT (5.12222 52.09083),https://digitaalerfgoed.poolparty.biz/globalise/20d7cfe7-b3b1-4223-b2b4-d9f6ddb2e683,city
GLOB2_1150,Sawai|Zaway|Saway|Sawaij,Sawai,-2.95877,129.1817,POINT (129.1817 -2.95877),https://digitaalerfgoed.poolparty.biz/globalise/d4dafba3-2344-4f5a-a94d-ed988069d0e5,village
GLOB2_1154,Brazil|Brazilië,Brazil,-20.281378,-42.075897,POINT (-42.075897 -20.281378),https://digitaalerfgoed.poolparty.biz/globalise/06278cc4-0ec4-4376-b869-8c21bf507894,region
GLOB2_1157,Leiden,Leiden,52.15833,4.49306,POINT (4.49306 52.15833),https://digitaalerfgoed.poolparty.biz/globalise/8e41887e-0111-4667-b209-9d0da933b7d8,town
GLOB2_1159,Pulau Boano|Boano|Bonoa,Pulau Boano,-2.98027,127.92078,POINT (127.92078 -2.98027),https://digitaalerfgoed.poolparty.biz/globalise/d8b4d9c6-11b3-430a-ba08-48eb1f3a8f56,island
GLOB2_1161,"St. Helena|Saint Helena Island|Sint Helena|Helena, Sint|Island of St. Helena|St. Helena eiland",Saint Helena Island,-15.9258,-5.71745,POINT (-5.71745 -15.9258),https://digitaalerfgoed.poolparty.biz/globalise/d8b4d9c6-11b3-430a-ba08-48eb1f3a8f56,island
GLOB2_1162,Tontolij|Tantoly|Toli-Toli|Tolitoli|Tontoli|Totolij,Toli-Toli,1.039696,120.8153,POINT (120.8153 1.039696),https://digitaalerfgoed.poolparty.biz/globalise/d1f592cd-dec1-4f42-bb73-930ce816dfaf,landschap
GLOB2_1165,Loeboe|Luwuk|Loubou|Luwu,Luwu,-2.6,120.25,POINT (120.25 -2.6),https://digitaalerfgoed.poolparty.biz/globalise/d1f592cd-dec1-4f42-bb73-930ce816dfaf,landschap
GLOB2_1166,Enkhuizen,Enkhuizen,52.70318,5.292306,POINT (5.292306 52.70318),https://digitaalerfgoed.poolparty.biz/globalise/8e41887e-0111-4667-b209-9d0da933b7d8,town
GLOB2_1168,Naning|Naningh|Nanning,Naning,2.381605,102.212,POINT (102.212 2.381605),https://digitaalerfgoed.poolparty.biz/globalise/40217104-de46-42ed-80c8-480fac1f8706|https://digitaalerfgoed.poolparty.biz/globalise/46724d25-aa94-4848-a8ca-17fe02b0db2b,settlement|district
GLOB2_1170,Sidayoe|Sidaju|Nieuw Leydago|Sadayo|Sidayu,Sidayu,-6.9993,112.5636,POINT (112.5636 -6.9993),https://digitaalerfgoed.poolparty.biz/globalise/40217104-de46-42ed-80c8-480fac1f8706,district
GLOB2_1173,Hattuwe|Hatuwe,Hatuwe,-2.7949,129.4956,POINT (129.4956 -2.7949),-,-
GLOB2_1174,Venetië|Venice,Venice,45.4386,12.3267,POINT (12.3267 45.4386),https://digitaalerfgoed.poolparty.biz/globalise/ebf26f69-b692-437a-b6fa-2bb4ae0ae95b,polity
GLOB2_1182,Koonimedu|Kunimedu|Conimur|Conjemere,Koonimedu,12.08519,79.88925,POINT (79.88925 12.08519),-,-
GLOB2_1182_HUM_1,Koonimedu|Kunimedu|Conimur|Conjemere,Koonimedu,12.08519,79.88925,POINT (79.88925 12.08519),https://digitaalerfgoed.poolparty.biz/globalise/d4dafba3-2344-4f5a-a94d-ed988069d0e5,village
GLOB2_1182_HUM_2,Koonimedu|Kunimedu|Conimur|Conjemere,Koonimedu,12.08519,79.88925,POINT (79.88925 12.08519),https://digitaalerfgoed.poolparty.biz/globalise/4b274bf6-aa23-44f3-8d90-809c6617916f,comptoir
GLOB2_1189,Singhia|Singia,Singhia,25.64217,85.32007,POINT (85.32007 25.64217),https://digitaalerfgoed.poolparty.biz/globalise/548ee91d-6717-49f1-917f-827280553153,factory
GLOB2_1190,Madura|Madura (Indonesia),Madura (Indonesia),-7.0,113.33333,POINT (113.33333 -7),https://digitaalerfgoed.poolparty.biz/globalise/d8b4d9c6-11b3-430a-ba08-48eb1f3a8f56,island
GLOB2_1194,Bongaja|Bungaya,Bungaya,-5.36944,119.70528,POINT (119.70528 -5.36944),https://digitaalerfgoed.poolparty.biz/globalise/d4dafba3-2344-4f5a-a94d-ed988069d0e5,village
GLOB2_1195,Banyumas|Banjoemas|Banjumas,Banyumas,-7.51417,109.29417,POINT (109.29417 -7.51417),https://digitaalerfgoed.poolparty.biz/globalise/d1f592cd-dec1-4f42-bb73-930ce816dfaf,landschap
GLOB2_1198,Candar|Candhar|Kandhar|Kendahe,Kendahe,3.68745,125.40176,POINT (125.40176 3.68745),https://digitaalerfgoed.poolparty.biz/globalise/6f1f178a-fa6f-4553-a723-99f9d909a771,kingdom
GLOB2_1201,"Belgica, fort (Banda)|redoute Neira|Belgica, Kasteel|fort Bellegika|fort Belgica|Belgica, fort","Belgica, fort (Banda)",-4.526072,129.898894,POINT (129.898894 -4.526072),https://digitaalerfgoed.poolparty.biz/globalise/84767cdb-cabe-4384-9e51-faca2ae3b864,fortification
